vuelo,dia
6005,2
2021,25
5528,18
7965,25
8717,13
6549,26
7566,19
2886,13
3122,14
2947,28
4380,22
7869,18
8440,7
8237,9
2415,7
4001,3
6645,9
2979,18
6937,14
2644,14
1924,17
8716,9
3928,27
6523,15
3334,18
5306,20
2235,7
1050,9
5584,28
9712,15
1190,28
1338,24
8559,25
7439,25
4958,11
5726,3
8156,4
4329,5
8595,5
5136,12
1443,26
4080,18
6775,19
3825,1
1148,1
7871,21
3529,15
3197,5
2099,10
7472,8
5927,18
4705,9
6511,20
2157,28
3729,4
6230,7
9026,14
2429,12
8198,15
9556,23
7653,2
2777,12
6234,10
6821,20
9636,13
5712,1
4390,24
5306,25
5165,2
8680,8
5749,3
2328,6
6815,20
6194,3
9992,22
7824,1
8432,1
3566,20
5138,22
2617,7
6213,9
1769,5
5600,27
6038,5
4086,20
3521,1
6651,13
7608,5
6075,3
9962,6
1713,1
6554,12
4861,19
4481,26
5039,9
5401,20
7050,24
1448,22
6970,22
9531,4
